String,Count1,Count2,Encoded,Padded,Prob1,Prob2,NonZeroLength
(GiGxGx)^2Gy,490,510,"[3, 1, 1, 3, 1, 1, 2]",[3 1 1 3 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.49,0.51,7
Gy(GiGyGxGxGyGy),390,610,"[2, 3, 2, 1, 1, 2, 2]",[2 3 2 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.39,0.61,7
GyGy(Gx)^4Gy,520,480,"[2, 2, 1, 1, 1, 1, 2]",[2 2 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.52,0.48,7
GyGy(GiGxGx)GxGx,966,34,"[2, 2, 3, 1, 1, 1, 1]",[2 2 3 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.966,0.034,7
Gy(Gy)^4GxGx,516,484,"[2, 2, 2, 2, 2, 1, 1]",[2 2 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.516,0.484,7
GxGx(GiGyGx)GxGx,726,274,"[1, 1, 3, 2, 1, 1, 1]",[1 1 3 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.726,0.274,7
GxGx(Gy)^4Gy,486,514,"[1, 1, 2, 2, 2, 2, 2]",[1 1 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.486,0.514,7
GxGx(Gx)^4Gy,510,490,"[1, 1, 1, 1, 1, 1, 2]",[1 1 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.51,0.49,7
Gy(Gx)^4GxGx,520,480,"[2, 1, 1, 1, 1, 1, 1]",[2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.52,0.48,7
GyGy(Gy)^4Gy,490,510,"[2, 2, 2, 2, 2, 2, 2]",[2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.49,0.51,7
Gy(GiGxGyGyGyGx),200,800,"[2, 3, 1, 2, 2, 2, 1]",[2 3 1 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.2,0.8,7
(GiGxGyGyGyGx)Gy,172,828,"[3, 1, 2, 2, 2, 1, 2]",[3 1 2 2 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.172,0.828,7
GxGx(GxGxGy)GxGx,667,333,"[1, 1, 1, 1, 2, 1, 1]",[1 1 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.667,0.333,7
GyGy(GxGxGy)GxGx,985,15,"[2, 2, 1, 1, 2, 1, 1]",[2 2 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.985,0.015,7
GxGx(GiGxGx)GxGx,793,207,"[1, 1, 3, 1, 1, 1, 1]",[1 1 3 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.793,0.207,7
GxGx(Gi)^4Gy,523,477,"[1, 1, 3, 3, 3, 3, 2]",[1 1 3 3 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.523,0.477,7
Gy(Gi)^4GxGx,498,502,"[2, 3, 3, 3, 3, 1, 1]",[2 3 3 3 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.498,0.502,7
GyGy(Gi)^4Gy,517,483,"[2, 2, 3, 3, 3, 3, 2]",[2 2 3 3 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0],0.517,0.483,7
GxGx(GiGxGyGyGyGx),321,679,"[1, 1, 3, 1, 2, 2, 2, 1]",[1 1 3 1 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0],0.321,0.679,8
Gy(GiGxGx)^2Gy,0,1000,"[2, 3, 1, 1, 3, 1, 1, 2]",[2 3 1 1 3 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0],0.0,1.0,8
GxGx(GiGxGx)^2,778,222,"[1, 1, 3, 1, 1, 3, 1, 1]",[1 1 3 1 1 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.778,0.222,8
GyGy(GiGxGx)^2,944,56,"[2, 2, 3, 1, 1, 3, 1, 1]",[2 2 3 1 1 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.944,0.056,8
GyGy(GiGxGyGyGyGx),790,210,"[2, 2, 3, 1, 2, 2, 2, 1]",[2 2 3 1 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0],0.79,0.21,8
(GiGyGx)^2GxGx,67,933,"[3, 2, 1, 3, 2, 1, 1, 1]",[3 2 1 3 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.067,0.933,8
(GiGxGx)^2GxGx,785,215,"[3, 1, 1, 3, 1, 1, 1, 1]",[3 1 1 3 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.785,0.215,8
Gy(GiGxGyGyGyGx)Gy,518,482,"[2, 3, 1, 2, 2, 2, 1, 2]",[2 3 1 2 2 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0],0.518,0.482,8
(GiGyGxGxGyGy)GxGx,529,471,"[3, 2, 1, 1, 2, 2, 1, 1]",[3 2 1 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.529,0.471,8
GyGy(GiGyGx)^2,173,827,"[2, 2, 3, 2, 1, 3, 2, 1]",[2 2 3 2 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0],0.173,0.827,8
Gy(GiGyGxGxGyGy)Gy,532,468,"[2, 3, 2, 1, 1, 2, 2, 2]",[2 3 2 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0],0.532,0.468,8
GxGx(GiGyGxGxGyGy),974,26,"[1, 1, 3, 2, 1, 1, 2, 2]",[1 1 3 2 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0],0.974,0.026,8
GyGy(GiGyGxGxGyGy),500,500,"[2, 2, 3, 2, 1, 1, 2, 2]",[2 2 3 2 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0],0.5,0.5,8
(GiGxGyGyGyGx)GxGx,338,662,"[3, 1, 2, 2, 2, 1, 1, 1]",[3 1 2 2 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.338,0.662,8
(GiGyGyGyGxGx)GxGx,526,474,"[3, 2, 2, 2, 1, 1, 1, 1]",[3 2 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.526,0.474,8
Gy(GiGyGyGyGxGx)Gy,499,501,"[2, 3, 2, 2, 2, 1, 1, 2]",[2 3 2 2 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0],0.499,0.501,8
GxGx(GiGyGyGyGxGx),16,984,"[1, 1, 3, 2, 2, 2, 1, 1]",[1 1 3 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.016,0.984,8
GyGy(GiGyGyGyGxGx),511,489,"[2, 2, 3, 2, 2, 2, 1, 1]",[2 2 3 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.511,0.489,8
(GxGxGyGxGyGy)GxGx,875,125,"[1, 1, 2, 1, 2, 2, 1, 1]",[1 1 2 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.875,0.125,8
Gy(GxGxGyGxGyGy)Gy,512,488,"[2, 1, 1, 2, 1, 2, 2, 2]",[2 1 1 2 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0],0.512,0.488,8
GxGx(GxGxGyGxGyGy),644,356,"[1, 1, 1, 1, 2, 1, 2, 2]",[1 1 1 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0],0.644,0.356,8
