String,Count_1,Count_2,Encoded,Padded,Prob_1,Prob_2
Gy(GxGxGy)GxGx,496,504,"2, 1, 1, 2, 1, 1","2, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.496,0.504
(GiGxGx)Gy,471,529,"3, 1, 1, 2","3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.471,0.529
(GiGxGx)GxGx,0,1000,"3, 1, 1, 1, 1","3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(GiGxGx)Gy,493,507,"2, 2, 3, 1, 1, 2","2, 2, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.493,0.507
GyGy(GiGxGx)GxGx,1000,0,"2, 2, 3, 1, 1, 1, 1","2, 2, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
GxGx(GiGxGx)Gy,495,505,"1, 1, 3, 1, 1, 2","1, 1, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.495,0.505
GxGx(GiGxGx)GxGx,500,500,"1, 1, 3, 1, 1, 1, 1","1, 1, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.5,0.5
Gy(GiGxGx)Gy,0,1000,"2, 3, 1, 1, 2","2, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(GiGxGx)GxGx,494,506,"2, 3, 1, 1, 1, 1","2, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.494,0.506
(GiGyGx),475,525,"3, 2, 1","3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.475,0.525
(GiGyGx)Gy,0,1000,"3, 2, 1, 2","3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
(GiGyGx)GxGx,467,533,"3, 2, 1, 1, 1","3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.467,0.533
GyGy(GiGyGx),472,528,"2, 2, 3, 2, 1","2, 2, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.472,0.528
GyGy(GiGyGx)Gy,1000,0,"2, 2, 3, 2, 1, 2","2, 2, 3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
GyGy(GiGyGx)GxGx,498,502,"2, 2, 3, 2, 1, 1, 1","2, 2, 3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.498,0.502
GxGx(GiGyGx),133,867,"1, 1, 3, 2, 1","1, 1, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.133,0.867
GxGx(GiGyGx)Gy,502,498,"1, 1, 3, 2, 1, 2","1, 1, 3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.502,0.498
GxGx(GiGyGx)GxGx,130,870,"1, 1, 3, 2, 1, 1, 1","1, 1, 3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.13,0.87
Gy(GiGyGx),153,847,"2, 3, 2, 1","2, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.153,0.847
Gy(GiGyGx)Gy,490,510,"2, 3, 2, 1, 2","2, 3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.49,0.51
Gy(GiGyGx)GxGx,841,159,"2, 3, 2, 1, 1, 1","2, 3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.841,0.159
(Gi)^8,1000,0,"3, 3, 3, 3, 3, 3, 3, 3","3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1.0,0.0
(Gi)^8Gy,486,514,"3, 3, 3, 3, 3, 3, 3, 3, 2","3, 3, 3, 3, 3, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.486,0.514
(Gi)^8GxGx,482,518,"3, 3, 3, 3, 3, 3, 3, 3, 1, 1","3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.482,0.518
GyGy(Gi)^8,0,1000,"2, 2, 3, 3, 3, 3, 3, 3, 3, 3","2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(Gi)^8Gy,497,503,"2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2","2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.497,0.503
GyGy(Gi)^8GxGx,518,482,"2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1","2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0",0.518,0.482
